timestamp,stdout,stderr,rtt
2024-06-09 15:58:59,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=1820 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=793 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 2 received, 50% packet loss, time 3060ms
rtt min/avg/max/mdev = 792.710/1306.603/1820.496/513.893 ms, pipe 2
",,1306.5
2024-06-09 15:59:10,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=3.39 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=28.7 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=59.2 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=5.49 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 4 received, 0% packet loss, time 3098ms
rtt min/avg/max/mdev = 3.385/24.192/59.235/22.532 ms
",,24.194999999999997
2024-06-09 15:59:17,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=51.4 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=86.3 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=42.2 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=29.1 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 4 received, 0% packet loss, time 3078ms
rtt min/avg/max/mdev = 29.112/52.263/86.314/21.195 ms
",,52.24999999999999
2024-06-09 15:59:24,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=75.0 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=4.32 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=12.3 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=153 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 4 received, 0% packet loss, time 3007ms
rtt min/avg/max/mdev = 4.320/61.098/152.767/59.587 ms
",,61.155
2024-06-09 15:59:31,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=90.6 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=113 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=97.3 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=107 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 4 received, 0% packet loss, time 3056ms
rtt min/avg/max/mdev = 90.562/101.914/113.125/8.649 ms
",,101.975
2024-06-09 15:59:38,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=129 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=30.1 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=177 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=9.62 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 4 received, 0% packet loss, time 3060ms
rtt min/avg/max/mdev = 9.624/86.515/177.289/69.176 ms
",,86.43
2024-06-09 15:59:45,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=82.9 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=136 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=171 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=74.4 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 4 received, 0% packet loss, time 3009ms
rtt min/avg/max/mdev = 74.449/116.205/171.040/39.603 ms
",,116.07499999999999
2024-06-09 15:59:53,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=43.1 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=68.1 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=80.2 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=91.6 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 4 received, 0% packet loss, time 3173ms
rtt min/avg/max/mdev = 43.139/70.760/91.641/17.990 ms
",,70.75
2024-06-09 16:00:00,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=12.2 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=57.1 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=74.9 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=27.0 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 4 received, 0% packet loss, time 3004ms
rtt min/avg/max/mdev = 12.219/42.803/74.896/24.584 ms
",,42.8
2024-06-09 16:00:07,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=7.95 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=99.2 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=102 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=315 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 4 received, 0% packet loss, time 3144ms
rtt min/avg/max/mdev = 7.948/130.975/314.695/112.621 ms
",,131.0375
